,fid,DN,geometry
36,38.0,1,"POLYGON ((37.55725117614424 47.210413333333335, 37.55741784466019 47.210413333333335, 37.55741784466019 47.210080000000005, 37.55725117614424 47.210080000000005, 37.55725117614424 47.210413333333335))"
37,39.0,1,"POLYGON ((37.56191789459085 47.21024666666667, 37.562084563106794 47.21024666666667, 37.562084563106794 47.210080000000005, 37.56191789459085 47.210080000000005, 37.56191789459085 47.21024666666667))"
38,40.0,1,"POLYGON ((37.55258445769764 47.21024666666667, 37.55275112621359 47.21024666666667, 37.55275112621359 47.20991333333333, 37.55258445769764 47.20991333333333, 37.55258445769764 47.21024666666667))"
39,41.0,1,"POLYGON ((37.559251198335645 47.21099666666667, 37.56033454368932 47.21099666666667, 37.56033454368932 47.21083, 37.56066788072122 47.21083, 37.56066788072122 47.210413333333335, 37.56050121220527 47.210413333333335, 37.56050121220527 47.210080000000005, 37.5600845409154 47.210080000000005, 37.5600845409154 47.21024666666667, 37.559917872399446 47.21024666666667, 37.559917872399446 47.21058, 37.55958453536755 47.21058, 37.55958453536755 47.210413333333335, 37.5594178668516 47.210413333333335, 37.5594178668516 47.210080000000005, 37.55958453536755 47.210080000000005, 37.55958453536755 47.20991333333333, 37.55975120388349 47.20991333333333, 37.55975120388349 47.20958, 37.55958453536755 47.20958, 37.55958453536755 47.20933, 37.55850119001387 47.20933, 37.55850119001387 47.20974666666667, 37.55866785852982 47.20974666666667, 37.55866785852982 47.210080000000005, 37.55816785298197 47.210080000000005, 37.55816785298197 47.21024666666667, 37.55883452704577 47.21024666666667, 37.55883452704577 47.210413333333335, 37.55908452981969 47.210413333333335, 37.55908452981969 47.21058, 37.559251198335645 47.21058, 37.559251198335645 47.21099666666667))"
40,42.0,1,"POLYGON ((37.56100121775312 47.20974666666667, 37.56141788904299 47.20974666666667, 37.56141788904299 47.20958, 37.56116788626907 47.20958, 37.56116788626907 47.20933, 37.56100121775312 47.20933, 37.56100121775312 47.20974666666667))"
41,43.0,1,"POLYGON ((37.54541771151179 47.209163333333336, 37.54558438002774 47.209163333333336, 37.54558438002774 47.20883, 37.54541771151179 47.20883, 37.54541771151179 47.209163333333336))"
42,44.0,1,"POLYGON ((37.56266790291262 47.209163333333336, 37.562834571428574 47.209163333333336, 37.562834571428574 47.20883, 37.56266790291262 47.20883, 37.56266790291262 47.209163333333336))"
43,45.0,1,"POLYGON ((37.55150111234396 47.20899666666667, 37.55183444937587 47.20899666666667, 37.55183444937587 47.20883, 37.55150111234396 47.20883, 37.55150111234396 47.20899666666667))"
44,46.0,1,"POLYGON ((37.56500126213592 47.20899666666667, 37.565167930651874 47.20899666666667, 37.565167930651874 47.20883, 37.56500126213592 47.20883, 37.56500126213592 47.20899666666667))"
45,47.0,1,"POLYGON ((37.557584513176145 47.20974666666667, 37.55800118446602 47.20974666666667, 37.55800118446602 47.20958, 37.55833452149792 47.20958, 37.55833452149792 47.209163333333336, 37.5594178668516 47.209163333333336, 37.5594178668516 47.20883, 37.55908452981969 47.20883, 37.55908452981969 47.208663333333334, 37.55883452704577 47.208663333333334, 37.55883452704577 47.20849666666667, 37.55866785852982 47.20849666666667, 37.55866785852982 47.208663333333334, 37.55800118446602 47.208663333333334, 37.55800118446602 47.20933, 37.5577511816921 47.20933, 37.5577511816921 47.20958, 37.557584513176145 47.20958, 37.557584513176145 47.20974666666667))"
46,48.0,1,"POLYGON ((37.55600116227462 47.20883, 37.55616783079057 47.20883, 37.55616783079057 47.208663333333334, 37.55600116227462 47.208663333333334, 37.55600116227462 47.20883))"
47,49.0,1,"POLYGON ((37.5624179001387 47.20883, 37.56266790291262 47.20883, 37.56266790291262 47.208663333333334, 37.5624179001387 47.208663333333334, 37.5624179001387 47.20883))"
48,50.0,1,"POLYGON ((37.56483459361997 47.20883, 37.56500126213592 47.20883, 37.56500126213592 47.208663333333334, 37.56483459361997 47.208663333333334, 37.56483459361997 47.20883))"
49,51.0,1,"POLYGON ((37.564584590846046 47.208663333333334, 37.56483459361997 47.208663333333334, 37.56483459361997 47.20849666666667, 37.564584590846046 47.20849666666667, 37.564584590846046 47.208663333333334))"
50,52.0,1,"POLYGON ((37.55600116227462 47.20808, 37.55616783079057 47.20808, 37.55616783079057 47.207746666666665, 37.55600116227462 47.207746666666665, 37.55600116227462 47.20808))"
51,53.0,1,"POLYGON ((37.557584513176145 47.20808, 37.55800118446602 47.20808, 37.55800118446602 47.207746666666665, 37.557584513176145 47.207746666666665, 37.557584513176145 47.20808))"
52,54.0,1,"POLYGON ((37.56066788072122 47.20791333333334, 37.56083454923717 47.20791333333334, 37.56083454923717 47.207746666666665, 37.56066788072122 47.207746666666665, 37.56066788072122 47.20791333333334))"
53,55.0,1,"POLYGON ((37.55200111789182 47.20758, 37.55241778918169 47.20758, 37.55241778918169 47.207413333333335, 37.55200111789182 47.207413333333335, 37.55200111789182 47.20758))"
54,56.0,1,"POLYGON ((37.549917761442444 47.20724666666667, 37.55008442995839 47.20724666666667, 37.55008442995839 47.206830000000004, 37.549917761442444 47.206830000000004, 37.549917761442444 47.20724666666667))"
55,57.0,1,"POLYGON ((37.552917794729545 47.20724666666667, 37.55308446324549 47.20724666666667, 37.55308446324549 47.20699666666667, 37.552917794729545 47.20699666666667, 37.552917794729545 47.20724666666667))"
56,58.0,1,"POLYGON ((37.555251153952845 47.20724666666667, 37.55541782246879 47.20724666666667, 37.55541782246879 47.20699666666667, 37.55600116227462 47.20699666666667, 37.55600116227462 47.206830000000004, 37.555251153952845 47.206830000000004, 37.555251153952845 47.20724666666667))"
57,59.0,1,"POLYGON ((37.5594178668516 47.20758, 37.55958453536755 47.20758, 37.55958453536755 47.207413333333335, 37.55975120388349 47.207413333333335, 37.55975120388349 47.20724666666667, 37.55958453536755 47.20724666666667, 37.55958453536755 47.20699666666667, 37.55883452704577 47.20699666666667, 37.55883452704577 47.20724666666667, 37.55908452981969 47.20724666666667, 37.55908452981969 47.207413333333335, 37.5594178668516 47.207413333333335, 37.5594178668516 47.20758))"
58,60.0,1,"POLYGON ((37.61991853814147 47.20724666666667, 37.620335209431346 47.20724666666667, 37.620335209431346 47.20699666666667, 37.61991853814147 47.20699666666667, 37.61991853814147 47.20724666666667))"
59,61.0,1,"POLYGON ((37.54966775866852 47.206830000000004, 37.549917761442444 47.206830000000004, 37.549917761442444 47.20666333333334, 37.54966775866852 47.20666333333334, 37.54966775866852 47.206830000000004))"
60,62.0,1,"POLYGON ((37.55725117614424 47.206496666666666, 37.55741784466019 47.206496666666666, 37.55741784466019 47.20633, 37.55725117614424 47.20633, 37.55725117614424 47.206496666666666))"
61,63.0,1,"POLYGON ((37.55183444937587 47.206496666666666, 37.552251120665744 47.206496666666666, 37.552251120665744 47.206163333333336, 37.55200111789182 47.206163333333336, 37.55200111789182 47.205913333333335, 37.551667780859916 47.205913333333335, 37.551667780859916 47.20633, 37.55183444937587 47.20633, 37.55183444937587 47.206496666666666))"
62,64.0,1,"POLYGON ((37.65950231067961 47.206163333333336, 37.65966897919556 47.206163333333336, 37.65966897919556 47.205913333333335, 37.65983564771151 47.205913333333335, 37.65983564771151 47.205580000000005, 37.65950231067961 47.205580000000005, 37.65950231067961 47.206163333333336))"
63,65.0,1,"POLYGON ((37.550584435506245 47.205913333333335, 37.55075110402219 47.205913333333335, 37.55075110402219 47.20574666666667, 37.550584435506245 47.20574666666667, 37.550584435506245 47.205913333333335))"
64,66.0,1,"POLYGON ((37.55616783079057 47.20574666666667, 37.55650116782247 47.20574666666667, 37.55650116782247 47.205580000000005, 37.55616783079057 47.205580000000005, 37.55616783079057 47.20574666666667))"
65,67.0,1,"POLYGON ((37.65641894313453 47.20574666666667, 37.65691894868238 47.20574666666667, 37.65691894868238 47.205580000000005, 37.65641894313453 47.205580000000005, 37.65641894313453 47.20574666666667))"
66,68.0,1,"POLYGON ((37.557084507628296 47.205580000000005, 37.55725117614424 47.205580000000005, 37.55725117614424 47.20541333333333, 37.557084507628296 47.20541333333333, 37.557084507628296 47.205580000000005))"
67,69.0,1,"POLYGON ((37.54825107628294 47.20541333333333, 37.54841774479889 47.20541333333333, 37.54841774479889 47.20508, 37.54825107628294 47.20508, 37.54825107628294 47.20541333333333))"
68,70.0,1,"POLYGON ((37.55366780305132 47.20541333333333, 37.554001140083216 47.20541333333333, 37.554001140083216 47.20508, 37.55366780305132 47.20508, 37.55366780305132 47.20541333333333))"
69,71.0,1,"POLYGON ((37.55883452704577 47.20541333333333, 37.55908452981969 47.20541333333333, 37.55908452981969 47.20508, 37.55883452704577 47.20508, 37.55883452704577 47.20541333333333))"
70,72.0,1,"POLYGON ((37.56266790291262 47.204663333333336, 37.562834571428574 47.204663333333336, 37.562834571428574 47.204163333333334, 37.56266790291262 47.204163333333334, 37.56266790291262 47.204663333333336))"
71,73.0,1,"POLYGON ((37.66091899306519 47.20433, 37.66166900138696 47.20433, 37.66166900138696 47.20399666666667, 37.66200233841886 47.20399666666667, 37.66200233841886 47.20383, 37.66233567545076 47.20383, 37.66233567545076 47.20358, 37.66141899861304 47.20358, 37.66141899861304 47.20383, 37.661252330097085 47.20383, 37.661252330097085 47.20399666666667, 37.66108566158113 47.20399666666667, 37.66108566158113 47.204163333333334, 37.66091899306519 47.204163333333334, 37.66091899306519 47.20433))"
72,74.0,1,"POLYGON ((37.663085683772536 47.20433, 37.66341902080444 47.20433, 37.66341902080444 47.204163333333334, 37.663585689320385 47.204163333333334, 37.663585689320385 47.20399666666667, 37.663085683772536 47.20399666666667, 37.663085683772536 47.20433))"
73,75.0,1,"POLYGON ((37.53908430790569 47.204163333333334, 37.53950097919556 47.204163333333334, 37.53950097919556 47.20399666666667, 37.53966764771151 47.20399666666667, 37.53966764771151 47.20383, 37.54016765325936 47.20383, 37.54016765325936 47.20358, 37.53983431622746 47.20358, 37.53983431622746 47.20341333333334, 37.53908430790569 47.20341333333334, 37.53908430790569 47.204163333333334))"
74,76.0,1,"POLYGON ((37.66016898474341 47.20399666666667, 37.66108566158113 47.20399666666667, 37.66108566158113 47.20383, 37.66016898474341 47.20383, 37.66016898474341 47.20399666666667))"
75,77.0,1,"POLYGON ((37.55850119001387 47.20383, 37.55866785852982 47.20383, 37.55866785852982 47.20341333333334, 37.55850119001387 47.20341333333334, 37.55850119001387 47.20383))"
76,78.0,1,"POLYGON ((37.66266901248266 47.20358, 37.663085683772536 47.20358, 37.663085683772536 47.20341333333334, 37.66266901248266 47.20341333333334, 37.66266901248266 47.20358))"
77,79.0,1,"POLYGON ((37.55675117059639 47.20358, 37.55725117614424 47.20358, 37.55725117614424 47.20341333333334, 37.55741784466019 47.20341333333334, 37.55741784466019 47.203246666666665, 37.557084507628296 47.203246666666665, 37.557084507628296 47.20308, 37.556917839112344 47.20308, 37.556917839112344 47.203246666666665, 37.55675117059639 47.203246666666665, 37.55675117059639 47.20358))"
78,80.0,1,"POLYGON ((37.664169029126214 47.20358, 37.66466903467406 47.20358, 37.66466903467406 47.20341333333334, 37.664835703190015 47.20341333333334, 37.664835703190015 47.20274666666667, 37.66466903467406 47.20274666666667, 37.66466903467406 47.202913333333335, 37.66433569764216 47.202913333333335, 37.66433569764216 47.203246666666665, 37.664169029126214 47.203246666666665, 37.664169029126214 47.20358))"
79,81.0,1,"POLYGON ((37.54966775866852 47.20383, 37.55025109847434 47.20383, 37.55025109847434 47.20358, 37.55008442995839 47.20358, 37.55008442995839 47.20341333333334, 37.549917761442444 47.20341333333334, 37.549917761442444 47.203246666666665, 37.54950109015257 47.203246666666665, 37.54950109015257 47.20341333333334, 37.54966775866852 47.20341333333334, 37.54966775866852 47.20383))"
80,82.0,1,"POLYGON ((37.66091899306519 47.20341333333334, 37.661252330097085 47.20341333333334, 37.661252330097085 47.203246666666665, 37.66108566158113 47.203246666666665, 37.66108566158113 47.202913333333335, 37.66091899306519 47.202913333333335, 37.66091899306519 47.20341333333334))"
81,83.0,1,"POLYGON ((37.66200233841886 47.20341333333334, 37.66233567545076 47.20341333333334, 37.66233567545076 47.203246666666665, 37.66200233841886 47.203246666666665, 37.66200233841886 47.20341333333334))"
82,84.0,1,"POLYGON ((37.663085683772536 47.20341333333334, 37.66325235228849 47.20341333333334, 37.66325235228849 47.203246666666665, 37.663085683772536 47.203246666666665, 37.663085683772536 47.20341333333334))"
83,85.0,1,"POLYGON ((37.658252296809984 47.202913333333335, 37.658418965325936 47.202913333333335, 37.658418965325936 47.20274666666667, 37.658252296809984 47.20274666666667, 37.658252296809984 47.202913333333335))"
84,86.0,1,"POLYGON ((37.65950231067961 47.202913333333335, 37.65966897919556 47.202913333333335, 37.65966897919556 47.20274666666667, 37.65950231067961 47.20274666666667, 37.65950231067961 47.202913333333335))"
85,87.0,1,"POLYGON ((37.66033565325936 47.203246666666665, 37.660752324549236 47.203246666666665, 37.660752324549236 47.20274666666667, 37.65983564771151 47.20274666666667, 37.65983564771151 47.202913333333335, 37.66000231622746 47.202913333333335, 37.66000231622746 47.20308, 37.66033565325936 47.20308, 37.66033565325936 47.203246666666665))"
86,88.0,1,"POLYGON ((37.66108566158113 47.202913333333335, 37.661252330097085 47.202913333333335, 37.661252330097085 47.20274666666667, 37.66108566158113 47.20274666666667, 37.66108566158113 47.202913333333335))"
87,89.0,1,"POLYGON ((37.66633571983356 47.20283, 37.66641905409154 47.20283, 37.66641905409154 47.20274666666667, 37.66633571983356 47.20274666666667, 37.66633571983356 47.20283))"
88,90.0,1,"POLYGON ((37.55850119001387 47.202913333333335, 37.55866785852982 47.202913333333335, 37.55866785852982 47.20249666666667, 37.55833452149792 47.20249666666667, 37.55833452149792 47.20274666666667, 37.55850119001387 47.20274666666667, 37.55850119001387 47.202913333333335))"
89,91.0,1,"POLYGON ((37.658418965325936 47.20274666666667, 37.65875230235783 47.20274666666667, 37.65875230235783 47.20249666666667, 37.65933564216366 47.20249666666667, 37.65933564216366 47.20233, 37.658418965325936 47.20233, 37.658418965325936 47.20274666666667))"
90,92.0,1,"POLYGON ((37.55975120388349 47.20233, 37.559917872399446 47.20233, 37.559917872399446 47.20216333333334, 37.55975120388349 47.20216333333334, 37.55975120388349 47.20233))"
91,93.0,1,"POLYGON ((37.663085683772536 47.202913333333335, 37.66325235228849 47.202913333333335, 37.66325235228849 47.20274666666667, 37.66341902080444 47.20274666666667, 37.66341902080444 47.20233, 37.66325235228849 47.20233, 37.66325235228849 47.20216333333334, 37.66266901248266 47.20216333333334, 37.66266901248266 47.20233, 37.662919015256584 47.20233, 37.662919015256584 47.20274666666667, 37.663085683772536 47.20274666666667, 37.663085683772536 47.202913333333335))"
92,94.0,1,"POLYGON ((37.664835703190015 47.20233, 37.66508570596394 47.20233, 37.66508570596394 47.20216333333334, 37.664835703190015 47.20216333333334, 37.664835703190015 47.20233))"
93,95.0,1,"POLYGON ((37.562084563106794 47.203246666666665, 37.562251231622746 47.203246666666665, 37.562251231622746 47.20249666666667, 37.562084563106794 47.20249666666667, 37.562084563106794 47.20233, 37.5617512260749 47.20233, 37.5617512260749 47.201996666666666, 37.561584557558945 47.201996666666666, 37.561584557558945 47.202913333333335, 37.56191789459085 47.202913333333335, 37.56191789459085 47.20308, 37.562084563106794 47.20308, 37.562084563106794 47.203246666666665))"
94,96.0,1,"POLYGON ((37.65966897919556 47.20216333333334, 37.65983564771151 47.20216333333334, 37.65983564771151 47.201996666666666, 37.65966897919556 47.201996666666666, 37.65966897919556 47.20216333333334))"
95,97.0,1,"POLYGON ((37.663585689320385 47.20216333333334, 37.66375235783634 47.20216333333334, 37.66375235783634 47.201996666666666, 37.663585689320385 47.201996666666666, 37.663585689320385 47.20216333333334))"
96,98.0,1,"POLYGON ((37.665919048543685 47.20216333333334, 37.66633571983356 47.20216333333334, 37.66633571983356 47.201996666666666, 37.665919048543685 47.201996666666666, 37.665919048543685 47.20216333333334))"
97,99.0,1,"POLYGON ((37.56141788904299 47.201996666666666, 37.561584557558945 47.201996666666666, 37.561584557558945 47.20183, 37.56141788904299 47.20183, 37.56141788904299 47.201996666666666))"
98,100.0,1,"POLYGON ((37.56050121220527 47.20183, 37.56083454923717 47.20183, 37.56083454923717 47.201663333333336, 37.56066788072122 47.201663333333336, 37.56066788072122 47.20149666666667, 37.56050121220527 47.20149666666667, 37.56050121220527 47.20183))"
99,101.0,1,"POLYGON ((37.66216900693481 47.201996666666666, 37.66233567545076 47.201996666666666, 37.66233567545076 47.20183, 37.662502343966715 47.20183, 37.662502343966715 47.201663333333336, 37.66266901248266 47.201663333333336, 37.66266901248266 47.20149666666667, 37.66325235228849 47.20149666666667, 37.66325235228849 47.20124666666667, 37.662919015256584 47.20124666666667, 37.662919015256584 47.201080000000005, 37.66233567545076 47.201080000000005, 37.66233567545076 47.20124666666667, 37.66200233841886 47.20124666666667, 37.66200233841886 47.20183, 37.66216900693481 47.20183, 37.66216900693481 47.201996666666666))"
100,102.0,1,"POLYGON ((37.55275112621359 47.201663333333336, 37.552917794729545 47.201663333333336, 37.552917794729545 47.20124666666667, 37.55275112621359 47.20124666666667, 37.55275112621359 47.201663333333336))"
101,103.0,1,"POLYGON ((37.56141788904299 47.201663333333336, 37.561584557558945 47.201663333333336, 37.561584557558945 47.20124666666667, 37.56141788904299 47.20124666666667, 37.56141788904299 47.201663333333336))"
